2020_miles,2021_miles,2022_miles,2023_miles
2.22,2.26,7.55,
5.18,0.00,8.57,
0.00,10.04,1.41,
10.41,1.67,7.98,
0.00,9.36,1.15,
12.92,2.71,2.53,
0.00,3.50,2.26,
0.00,10.60,11.24,
2.55,2.38,2.66,
1.30,2.83,3.70,
0.00,4.48,3.02,
12.68,5.19,3.26,
0.00,0.00,3.30,
1.47,4.29,2.86,
4.07,0.41,6.57,
2.68,4.78,3.75,
0.00,3.68,12.42,
0.00,10.52,3.44,
0.00,3.30,2.78,
3.06,0.00,2.85,
6.23,2.68,12.09,
6.20,2.69,2.73,
2.10,2.90,2.41,
0.00,2.91,2.66,
0.00,2.79,3.18,
0.30,3.27,3.10,
1.31,5.59,3.66,
0.00,8.20,11.94,
0.00,4.45,3.13,
2.59,2.30,2.24,
1.60,11.27,2.18,
0.00,3.78,7.39,
2.19,3.58,2.07,
1.29,4.85,2.69,
0.00,3.33,2.30,
1.10,5.50,4.64,
0.00,3.18,1.84,
0.00,0.00,12.02,
0.00,3.86,4.75,
2.19,2.57,2.82,
0.00,3.16,2.09,
2.19,9.69,3.02,
2.60,10.01,2.39,
2.73,2.09,3.32,
0.00,3.06,4.13,
14.23,2.79,5.47,
2.19,6.87,2.52,
0.00,0.00,3.30,
0.00,6.57,11.85,
0.92,2.30,3.20,
1.94,0.00,1.48,
0.00,12.38,0.00,
1.45,2.21,10.81,
11.94,5.13,3.44,
0.00,5.68,3.91,
1.95,2.50,11.93,
3.47,3.98,8.03,
3.87,2.69,0.00,
0.00,0.00,12.30,
3.55,10.17,3.95,
11.43,2.24,3.05,
1.00,3.24,4.54,
2.79,2.96,1.66,
2.19,0.00,16.04,
2.88,11.10,0.00,
6.08,3.72,10.43,
2.19,3.19,0.00,
2.08,4.02,2.54,
0.00,0.00,2.95,
0.00,0.00,2.74,
0.00,0.00,3.10,
3.37,0.00,11.57,
0.00,0.00,5.52,
1.56,0.00,2.00,
2.27,2.00,2.50,
0.00,2.76,2.93,
0.00,1.72,2.62,
1.58,2.77,3.65,
0.00,2.71,6.89,
8.87,2.42,5.77,
2.19,3.45,5.60,
2.20,3.29,2.39,
0.00,2.22,3.64,
14.60,3.34,2.48,
3.47,2.76,4.76,
0.00,2.56,1.51,
0.00,2.22,2.82,
9.94,4.80,5.57,
2.19,3.12,3.14,
4.26,1.44,6.46,
3.00,2.51,12.64,
0.00,3.20,0.00,
2.50,2.76,2.16,
0.00,9.05,11.91,
0.00,3.44,7.29,
0.00,1.58,6.67,
2.73,2.85,3.31,
0.00,5.29,0.00,
2.42,3.94,2.30,
2.75,3.77,2.69,
0.00,3.35,10.85,
9.32,2.91,9.72,
0.00,2.76,2.68,
2.40,1.94,3.28,
0.00,5.10,4.07,
2.84,2.19,2.72,
4.57,5.74,2.45,
0.00,6.61,11.13,
0.00,4.37,5.89,
0.00,3.24,3.31,
0.00,4.42,3.77,
0.00,1.64,12.29,
0.00,6.22,3.57,
0.39,0.00,3.05,
0.00,3.56,5.88,
0.00,10.47,2.39,
0.00,4.00,7.06,
0.00,3.89,0.37,
2.25,2.79,3.15,
0.00,3.72,3.37,
1.56,3.08,2.47,
2.84,6.00,4.34,
2.49,3.31,6.47,
0.00,2.99,3.76,
4.44,2.63,0.00,
0.00,4.36,1.20,
2.68,2.08,3.33,
3.09,4.05,2.08,
0.00,6.76,11.75,
0.00,0.00,2.36,
0.00,3.25,2.95,
2.52,2.70,2.60,
4.15,2.27,2.28,
1.11,3.92,2.39,
0.00,2.84,2.95,
0.00,0.00,7.60,
4.29,0.00,2.65,
3.79,3.16,0.90,
2.42,,,
