,OD,Plein Tarif Loisir 2nde,1ère classe,dist
2194,LILLE FLANDRES-ANGOULEME,119.0,155.0,
2195,LILLE FLANDRES-ANNECY,127.0,168.0,
2196,LILLE FLANDRES-ANNEMASSE,127.0,167.0,
2197,LILLE FLANDRES-ANTIBES,155.0,196.0,
2198,LILLE FLANDRES-ARRAS,13.7,20.0,
2199,LILLE FLANDRES-AVIGNON,144.0,180.0,
2200,LILLE FLANDRES-AVIGNON TGV,144.0,180.0,
2201,LILLE FLANDRES-BAYONNE,144.0,174.0,
2202,LILLE FLANDRES-BELFORT-MONTBELIARD TGV,129.0,166.0,
2203,LILLE FLANDRES-BELLEGARDE,127.0,167.0,
2204,LILLE FLANDRES-BESANCON FRANCHE-COMTE TGV,120.0,155.0,
2205,LILLE FLANDRES-BEZIERS,150.0,188.0,
2206,LILLE FLANDRES-BIARRITZ,144.0,174.0,
2207,LILLE FLANDRES-BORDEAUX ST JEAN,130.0,171.0,
2208,LILLE FLANDRES-BOULOGNE VILLE,32.0,47.0,
2209,LILLE FLANDRES-BOURG ST MAURICE,127.0,167.0,
2210,LILLE FLANDRES-BREST,125.0,161.0,
2211,LILLE FLANDRES-BRIVE LA GAILLARDE,130.0,163.0,
2212,LILLE FLANDRES-CALAIS VILLE,26.0,39.0,
2213,LILLE FLANDRES-CANNES,155.0,196.0,
2214,LILLE FLANDRES-CARCASSONNE,150.0,188.0,
2215,LILLE FLANDRES-CHAMBERY CHALLES LES EAUX,127.0,167.0,
2216,LILLE FLANDRES-CHAMPAGNE ARDENNE,80.0,96.0,
2217,LILLE FLANDRES-CHATEAUROUX,105.0,132.0,
2218,LILLE FLANDRES-CLUSES  74,127.0,167.0,
2219,LILLE FLANDRES-CROIX WASQUEHAL,2.9,6.1,
2220,LILLE FLANDRES-DOUAI,9.6,14.3,
2221,LILLE FLANDRES-ECOLE VALENTIN,120.0,155.0,
2222,LILLE FLANDRES-FUTUROSCOPE,109.0,143.0,
2223,LILLE FLANDRES-GRENOBLE,127.0,167.0,
2224,LILLE FLANDRES-GUINGAMP,119.0,153.0,
2225,LILLE FLANDRES-HENDAYE,144.0,174.0,
2226,LILLE FLANDRES-JUVISY TGV,63.0,82.0,
2227,LILLE FLANDRES-LA ROCHE SUR FORON,127.0,167.0,
2228,LILLE FLANDRES-LA SOUTERRAINE,114.0,144.0,
2229,LILLE FLANDRES-LAMBALLE,119.0,153.0,
2230,LILLE FLANDRES-LANDRY,127.0,167.0,
2231,LILLE FLANDRES-LE CREUSOT MONTCEAU MONTCHANIN,111.0,142.0,
2232,LILLE FLANDRES-LE MANS,92.0,115.0,
2233,LILLE FLANDRES-LES ARCS DRAGUIGNAN,155.0,196.0,
2234,LILLE FLANDRES-LES AUBRAIS ORLEANS,88.0,111.0,
2235,LILLE FLANDRES-LIBOURNE,130.0,171.0,
2236,LILLE FLANDRES-LIMOGES BENEDICTINS,119.0,149.0,
2237,LILLE FLANDRES-LORRAINE TGV,102.0,122.0,
2238,LILLE FLANDRES-LYON PART DIEU,116.0,154.0,
2239,LILLE FLANDRES-LYON PERRACHE,116.0,154.0,
2240,LILLE FLANDRES-LYON ST EXUPERY,116.0,154.0,
2241,LILLE FLANDRES-MARNE LA VALLEE CHESSY,63.0,82.0,
2242,LILLE FLANDRES-MARSEILLE ST CHARLES,144.0,184.0,
2243,LILLE FLANDRES-MASSY TGV,63.0,82.0,
2244,LILLE FLANDRES-MODANE,127.0,167.0,
2245,LILLE FLANDRES-MONTAUBAN VILLE BOURBON,144.0,174.0,
2246,LILLE FLANDRES-MONTBARD,102.0,121.0,
2247,LILLE FLANDRES-MONTPELLIER,144.0,184.0,
2248,LILLE FLANDRES-MORLAIX,125.0,161.0,
2249,LILLE FLANDRES-MOUTIERS SALINS BRIDES,127.0,167.0,
2250,LILLE FLANDRES-MULHOUSE VILLE,136.0,175.0,
2251,LILLE FLANDRES-NANCY VILLE,102.0,122.0,
2252,LILLE FLANDRES-NANTES,108.0,137.0,
2253,LILLE FLANDRES-NARBONNE,150.0,188.0,
2254,LILLE FLANDRES-NICE VILLE,155.0,196.0,
2255,LILLE FLANDRES-NIMES,144.0,184.0,
2256,LILLE FLANDRES-NIORT,118.0,149.0,
2257,LILLE FLANDRES-PARIS NORD,63.0,82.0,
2258,LILLE FLANDRES-PERPIGNAN,150.0,188.0,
2259,LILLE FLANDRES-POITIERS,109.0,143.0,
2260,LILLE FLANDRES-RENNES,108.0,137.0,
