,OD,Plein Tarif Loisir 2nde,1ère classe,dist
0,AEROPORT CDG 2 TGV ROISSY-AGDE,116.0,162.0,
1,AEROPORT CDG 2 TGV ROISSY-AIME LA PLAGNE,118.0,161.0,
2,AEROPORT CDG 2 TGV ROISSY-AIX LES BAINS LE REVARD,103.0,136.0,
3,AEROPORT CDG 2 TGV ROISSY-ALBERTVILLE,115.0,154.0,
4,AEROPORT CDG 2 TGV ROISSY-ANNECY,104.0,140.0,
5,AEROPORT CDG 2 TGV ROISSY-ANNEMASSE,108.0,152.0,
6,AEROPORT CDG 2 TGV ROISSY-ANTIBES,132.0,185.0,
7,AEROPORT CDG 2 TGV ROISSY-ARRAS,50.0,61.0,
8,AEROPORT CDG 2 TGV ROISSY-AURAY,91.0,127.0,
9,AEROPORT CDG 2 TGV ROISSY-BAYONNE,112.0,147.0,
10,AEROPORT CDG 2 TGV ROISSY-BELFORT-MONTBELIARD TGV,97.0,126.0,
11,AEROPORT CDG 2 TGV ROISSY-BELLEGARDE,91.0,129.0,
12,AEROPORT CDG 2 TGV ROISSY-BESANCON FRANCHE-COMTE TGV,83.0,111.0,
13,AEROPORT CDG 2 TGV ROISSY-BOURG ST MAURICE,118.0,161.0,
14,AEROPORT CDG 2 TGV ROISSY-DOUAI,52.0,66.0,
15,AEROPORT CDG 2 TGV ROISSY-ECOLE VALENTIN,83.0,111.0,
16,AEROPORT CDG 2 TGV ROISSY-EVIAN LES BAINS,108.0,152.0,
17,AEROPORT CDG 2 TGV ROISSY-FUTUROSCOPE,75.0,107.0,
18,AEROPORT CDG 2 TGV ROISSY-LANDERNEAU,92.0,131.0,
19,AEROPORT CDG 2 TGV ROISSY-LE CREUSOT MONTCEAU MONTCHANIN,82.0,114.0,
20,AEROPORT CDG 2 TGV ROISSY-LES ARCS DRAGUIGNAN,132.0,185.0,
21,AEROPORT CDG 2 TGV ROISSY-LIBOURNE,96.0,126.0,
22,AEROPORT CDG 2 TGV ROISSY-LISIEUX,51.0,63.0,
23,AEROPORT CDG 2 TGV ROISSY-MANTES LA JOLIE,35.0,47.0,
24,AEROPORT CDG 2 TGV ROISSY-MARMANDE,108.0,140.0,
25,AEROPORT CDG 2 TGV ROISSY-MARSEILLE ST CHARLES,116.0,162.0,
26,AEROPORT CDG 2 TGV ROISSY-MASSY PALAISEAU,35.0,47.0,
27,AEROPORT CDG 2 TGV ROISSY-MONTAUBAN VILLE BOURBON,109.0,142.0,
28,AEROPORT CDG 2 TGV ROISSY-MONTPELLIER,114.0,160.0,
29,AEROPORT CDG 2 TGV ROISSY-MORLAIX,91.0,127.0,
30,AEROPORT CDG 2 TGV ROISSY-MOUTIERS SALINS BRIDES,118.0,159.0,
31,AEROPORT CDG 2 TGV ROISSY-NANTES,85.0,122.0,
32,AEROPORT CDG 2 TGV ROISSY-NARBONNE,116.0,162.0,
33,AEROPORT CDG 2 TGV ROISSY-NICE VILLE,132.0,185.0,
34,AEROPORT CDG 2 TGV ROISSY-NIORT,84.0,118.0,
35,AEROPORT CDG 2 TGV ROISSY-PERPIGNAN,124.0,175.0,
36,AEROPORT CDG 2 TGV ROISSY-POITIERS,75.0,107.0,
37,AEROPORT CDG 2 TGV ROISSY-QUIMPER,95.0,134.0,
38,AEROPORT CDG 2 TGV ROISSY-REDON,84.0,122.0,
39,AEROPORT CDG 2 TGV ROISSY-RENNES,80.0,113.0,
40,AEROPORT CDG 2 TGV ROISSY-ROSPORDEN,95.0,134.0,
41,AEROPORT CDG 2 TGV ROISSY-ROUEN RIVE DROITE,40.0,48.0,
42,AEROPORT CDG 2 TGV ROISSY-SALLANCHES COMBLOUX MEGEVE,119.0,163.0,
43,AEROPORT CDG 2 TGV ROISSY-SAVENAY,85.0,122.0,
44,AEROPORT CDG 2 TGV ROISSY-SAVERNE,85.0,124.0,
45,AEROPORT CDG 2 TGV ROISSY-SETE,116.0,162.0,
46,AEROPORT CDG 2 TGV ROISSY-ST BRIEUC,84.0,122.0,
47,AEROPORT CDG 2 TGV ROISSY-ST GERVAIS LES BAINS LE FAYET,119.0,163.0,
48,AEROPORT CDG 2 TGV ROISSY-ST JEAN DE LUZ CIBOURE,112.0,147.0,
49,AEROPORT CDG 2 TGV ROISSY-ST MALO,85.0,123.0,
50,AEROPORT CDG 2 TGV ROISSY-ST MICHEL VALLOIRE,113.0,154.0,
51,AEROPORT CDG 2 TGV ROISSY-ST NAZAIRE,86.0,125.0,
52,AEROPORT CDG 2 TGV ROISSY-ST PIERRE DES CORPS,65.0,89.0,
53,AEROPORT CDG 2 TGV ROISSY-ST RAPHAEL VALESCURE,132.0,185.0,
54,AEROPORT CDG 2 TGV ROISSY-TGV HAUTE PICARDIE,45.0,50.0,
55,AEROPORT CDG 2 TGV ROISSY-THONON LES BAINS,108.0,152.0,
56,AEROPORT CDG 2 TGV ROISSY-TOULON,121.0,166.0,
57,AEROPORT CDG 2 TGV ROISSY-TOULOUSE MATABIAU,116.0,162.0,
58,AEROPORT CDG 2 TGV ROISSY-VALENCE,103.0,143.0,
59,AEROPORT CDG 2 TGV ROISSY-VALENCE TGV,107.0,147.0,
60,AEROPORT CDG 2 TGV ROISSY-VANNES,88.0,123.0,
61,AEROPORT CDG 2 TGV ROISSY-VIERZON VILLE,62.0,78.0,
62,AEROPORT CDG2 TGV ROISSY - AURAY,100.0,140.0,
63,AEROPORT CDG2 TGV ROISSY - FUTUROSCOPE,79.0,113.0,
64,AEROPORT CDG2 TGV ROISSY - LANDERNEAU,100.0,142.0,
65,AEROPORT CDG2 TGV ROISSY - LIBOURNE,99.0,133.0,
66,AEROPORT CDG2 TGV ROISSY - MORLAIX,99.0,138.0,
67,AEROPORT CDG2 TGV ROISSY - NANTES,88.0,127.0,
68,AEROPORT CDG2 TGV ROISSY - POITIERS,79.0,113.0,
69,AEROPORT CDG2 TGV ROISSY - QUIMPER,103.0,147.0,
70,AEROPORT CDG2 TGV ROISSY - REDON,94.0,136.0,
71,AEROPORT CDG2 TGV ROISSY - RENNES,93.0,131.0,
72,AEROPORT CDG2 TGV ROISSY - ROSPORDEN,103.0,147.0,
73,AEROPORT CDG2 TGV ROISSY - ST MALO,95.0,138.0,
74,AEROPORT CDG2 TGV ROISSY - ST NAZAIRE,88.0,128.0,
75,AEROPORT CDG2 TGV ROISSY - VANNES,97.0,136.0,
76,AGDE-BEAUNE,84.0,124.0,
77,AGDE-CHALON SUR SAONE,81.0,107.0,
78,AGDE-DOUAI,150.0,188.0,
79,AGDE-LE CREUSOT MONTCEAU MONTCHANIN,75.0,110.0,
80,AGDE-MASSY TGV,116.0,162.0,
81,AGDE-MONTELIMAR,39.0,57.0,
82,AGDE-NARBONNE,12.6,19.0,
83,AGDE-PARIS MONTPARNASSE,116.0,162.0,
84,AGDE-SETE,7.5,11.5,
85,AGEN - CHATELLERAULT,60.0,85.0,
86,AGEN - MASSY TGV,120.0,173.0,
87,AGEN - PARIS MONTPARNASSE 1 ET 2,120.0,173.0,
88,AGEN - RUFFEC CHARENTE,45.0,65.0,
89,AGEN-AEROPORT CDG 2 TGV ROISSY,108.0,140.0,
90,AGEN-ANGOULEME,45.0,65.0,
91,AGEN-ARRAS,144.0,174.0,
92,AGEN-BEAUNE,105.0,167.0,
93,AGEN-BEZIERS,47.0,72.0,
94,AGEN-BORDEAUX ST JEAN,26.0,40.0,
95,AGEN-CARCASSONNE,37.0,54.0,
96,AGEN-CHALON SUR SAONE,109.0,147.0,
97,AGEN-CHATELLERAULT,58.0,84.0,
98,AGEN-DOUAI,144.0,174.0,
99,AGEN-FUTUROSCOPE,60.0,85.0,
100,AGEN-LIBOURNE,33.0,47.0,
101,AGEN-LILLE EUROPE,144.0,174.0,
102,AGEN-LYON PART DIEU,103.0,139.0,
103,AGEN-LYON ST EXUPERY,103.0,139.0,
104,AGEN-MACON VILLE,109.0,147.0,
105,AGEN-MARNE LA VALLEE CHESSY,108.0,140.0,
106,AGEN-MASSY TGV,108.0,140.0,
107,AGEN-MONTAUBAN VILLE BOURBON,16.5,24.0,
108,AGEN-MONTPELLIER,55.0,84.0,
109,AGEN-NARBONNE,44.0,66.0,
110,AGEN-NIMES,56.0,85.0,
111,AGEN-PARIS AUSTERLITZ,108.0,140.0,
112,AGEN-PARIS MONTPARNASSE 1 ET 2,108.0,140.0,
113,AGEN-POITIERS,58.0,84.0,
114,AGEN-RUFFEC CHARENTE,43.0,63.0,
115,AGEN-SETE,53.0,79.0,
116,AGEN-ST PIERRE DES CORPS,69.0,101.0,
117,AGEN-TOULOUSE MATABIAU,24.0,37.0,
118,AGEN-VALENCE,89.0,119.0,
119,AGEN-VALENCE TGV,89.0,119.0,
120,AIME LA PLAGNE-AIX LES BAINS LE REVARD,21.0,31.0,
121,AIME LA PLAGNE-ALBERTVILLE,14.6,21.0,
122,AIME LA PLAGNE-ARRAS,127.0,167.0,
123,AIME LA PLAGNE-AURAY,137.0,179.0,
124,AIME LA PLAGNE-BELFORT-MONTBELIARD TGV,92.0,115.0,
125,AIME LA PLAGNE-BERNAY,125.0,165.0,
126,AIME LA PLAGNE-BESANCON FRANCHE-COMTE TGV,78.0,97.0,
127,AIME LA PLAGNE-BOURG EN BRESSE,27.5,37.0,
128,AIME LA PLAGNE-BOURG ST MAURICE,5.4,7.8,
129,AIME LA PLAGNE-DOUAI,127.0,167.0,
130,AIME LA PLAGNE-ECOLE VALENTIN,78.0,97.0,
131,AIME LA PLAGNE-LISIEUX,125.0,165.0,
132,AIME LA PLAGNE-MOUTIERS SALINS BRIDES,6.7,10.5,
133,AIME LA PLAGNE-QUIMPER,147.0,190.0,
134,AIME LA PLAGNE-REDON,137.0,179.0,
135,AIME LA PLAGNE-RENNES,132.0,170.0,
136,AIME LA PLAGNE-ROUEN RIVE DROITE,121.0,160.0,
137,AIME LA PLAGNE-ST BRIEUC,137.0,179.0,
138,AIME LA PLAGNE-TGV HAUTE PICARDIE,119.0,156.0,
139,AIME LA PLAGNE-VANNES,137.0,179.0,
140,AIX EN PROVENCE TGV - RENNES,148.0,188.0,
141,AIX EN PROVENCE TGV - ST PIERRE DES CORPS,125.0,168.0,
142,AIX EN PROVENCE TGV-AEROPORT CDG 2 TGV ROISSY,116.0,162.0,
143,AIX EN PROVENCE TGV-AIX LES BAINS LE REVARD,89.0,119.0,
144,AIX EN PROVENCE TGV-ANNECY,91.0,120.0,
145,AIX EN PROVENCE TGV-ANTIBES,39.0,55.0,
146,AIX EN PROVENCE TGV-ARRAS,144.0,184.0,
147,AIX EN PROVENCE TGV-AVIGNON TGV,30.0,44.0,
148,AIX EN PROVENCE TGV-BELFORT-MONTBELIARD TGV,124.0,161.0,
149,AIX EN PROVENCE TGV-BELLEGARDE,77.0,111.0,
150,AIX EN PROVENCE TGV-BESANCON FRANCHE-COMTE TGV,111.0,144.0,
151,AIX EN PROVENCE TGV-BEZIERS,46.0,61.0,
152,AIX EN PROVENCE TGV-BORDEAUX ST JEAN,107.0,142.0,
153,AIX EN PROVENCE TGV-BOURG EN BRESSE,79.0,103.0,
154,AIX EN PROVENCE TGV-CANNES,38.0,54.0,
155,AIX EN PROVENCE TGV-CARCASSONNE,58.0,75.0,
156,AIX EN PROVENCE TGV-CHALON SUR SAONE,87.0,113.0,
157,AIX EN PROVENCE TGV-CHAMBERY CHALLES LES EAUX,89.0,119.0,
158,AIX EN PROVENCE TGV-CULMONT CHALINDREY,98.0,140.0,
159,AIX EN PROVENCE TGV-DOUAI,144.0,184.0,
160,AIX EN PROVENCE TGV-ECOLE VALENTIN,111.0,144.0,
161,AIX EN PROVENCE TGV-GRENOBLE,65.0,86.0,
162,AIX EN PROVENCE TGV-HYERES,21.5,31.0,
163,AIX EN PROVENCE TGV-LAROCHE MIGENNES,95.0,137.0,
164,AIX EN PROVENCE TGV-LE CREUSOT MONTCEAU MONTCHANIN,82.0,118.0,
165,AIX EN PROVENCE TGV-LES ARCS DRAGUIGNAN,30.0,44.0,
166,AIX EN PROVENCE TGV-LILLE EUROPE,144.0,184.0,
167,AIX EN PROVENCE TGV-LONS LE SAUNIER,85.0,113.0,
168,AIX EN PROVENCE TGV-LYON PART DIEU,67.0,89.0,
169,AIX EN PROVENCE TGV-LYON PERRACHE,67.0,89.0,
170,AIX EN PROVENCE TGV-LYON ST EXUPERY,67.0,89.0,
171,AIX EN PROVENCE TGV-MACON LOCHE TGV,75.0,100.0,
172,AIX EN PROVENCE TGV-MACON VILLE,81.0,104.0,
173,AIX EN PROVENCE TGV-MANTES LA J. TGV,116.0,162.0,
174,AIX EN PROVENCE TGV-MANTES LA JOLIE,116.0,162.0,
175,AIX EN PROVENCE TGV-MARNE LA VALLEE CHESSY,116.0,162.0,
176,AIX EN PROVENCE TGV-MARSEILLE BLANCARDE,7.7,15.0,
177,AIX EN PROVENCE TGV-MARSEILLE ST CHARLES,6.4,12.6,
178,AIX EN PROVENCE TGV-MASSY PALAISEAU,116.0,162.0,
179,AIX EN PROVENCE TGV-MASSY TGV,116.0,162.0,
180,AIX EN PROVENCE TGV-MELUN,105.0,148.0,
181,AIX EN PROVENCE TGV-MENTON,43.0,65.0,
182,AIX EN PROVENCE TGV-MONACO MONTE CARLO,43.0,65.0,
183,AIX EN PROVENCE TGV-MONTBELIARD,106.0,141.0,
184,AIX EN PROVENCE TGV-MONTPELLIER,37.0,50.0,
185,AIX EN PROVENCE TGV-MOUCHARD,67.0,112.0,
186,AIX EN PROVENCE TGV-NANCY VILLE,117.0,151.0,
187,AIX EN PROVENCE TGV-NANTES,142.0,180.0,
188,AIX EN PROVENCE TGV-NARBONNE,49.0,64.0,
189,AIX EN PROVENCE TGV-NEUFCHATEAU,98.0,140.0,
190,AIX EN PROVENCE TGV-NICE VILLE,41.0,60.0,
191,AIX EN PROVENCE TGV-NIMES,30.0,44.0,
192,AIX EN PROVENCE TGV-PARIS GARE DE LYON,116.0,162.0,
193,AIX EN PROVENCE TGV-PARIS NORD,116.0,162.0,
194,AIX EN PROVENCE TGV-PERPIGNAN,51.0,66.0,
195,AIX EN PROVENCE TGV-RENNES,142.0,180.0,
196,AIX EN PROVENCE TGV-ROUEN RIVE DROITE,129.0,177.0,
197,AIX EN PROVENCE TGV-SENS,105.0,148.0,
198,AIX EN PROVENCE TGV-SETE,37.0,50.0,
199,AIX EN PROVENCE TGV-ST PIERRE DES CORPS,125.0,167.0,
200,AIX EN PROVENCE TGV-ST RAPHAEL VALESCURE,34.0,48.0,
201,AIX EN PROVENCE TGV-TGV HAUTE PICARDIE,136.0,174.0,
202,AIX EN PROVENCE TGV-TOUL,117.0,151.0,
203,AIX EN PROVENCE TGV-TOULON,18.0,27.0,
204,AIX EN PROVENCE TGV-TOULOUSE MATABIAU,69.0,100.0,
205,AIX EN PROVENCE TGV-VALENCE,48.0,70.0,
206,AIX EN PROVENCE TGV-VALENCE TGV,48.0,69.0,
207,AIX EN PROVENCE TGV-VENDOME VILLIERS SUR LOIR,125.0,167.0,
208,AIX EN PROVENCE TGV-VENTIMIGLIA STAZIONE,46.0,69.0,
209,AIX EN PROVENCE TGV-VENTIMIGLIA STAZIONE  (IT),46.0,69.0,
210,AIX EN PROVENCE TGV-VERSAILLES CHANTIERS,116.0,162.0,
211,AIX LES BAINS LE REVARD-ALBERTVILLE,19.5,31.0,
212,AIX LES BAINS LE REVARD-ANTIBES,105.0,163.0,
213,AIX LES BAINS LE REVARD-AURAY,137.0,179.0,
214,AIX LES BAINS LE REVARD-BOURG EN BRESSE,22.0,32.0,
215,AIX LES BAINS LE REVARD-DOUAI,127.0,167.0,
216,AIX LES BAINS LE REVARD-REDON,137.0,179.0,
217,AIX LES BAINS LE REVARD-SALLANCHES COMBLOUX MEGEVE,24.5,36.0,
218,AIX LES BAINS LE REVARD-ST GERVAIS LES BAINS LE FAYET,25.0,38.0,
219,AIX LES BAINS LE REVARD-ST RAPHAEL VALESCURE,100.0,163.0,
220,AIX-LES-BAINS - LE REVARD-MASSY PALAISEAU,103.0,136.0,
221,AIX-LES-BAINS - LE REVARD-VERSAILLES CHANTIERS,103.0,136.0,
222,ALBERTVILLE-ALBERTVILLE-LAVAL,120.0,162.0,
223,ALBERTVILLE-AURAY,137.0,179.0,
224,ALBERTVILLE-BERNAY,125.0,165.0,
225,ALBERTVILLE-BOURG EN BRESSE,22.0,28.5,
226,ALBERTVILLE-DOUAI,127.0,167.0,
227,ALBERTVILLE-ECOLE VALENTIN,75.0,89.0,
228,ALBERTVILLE-LISIEUX,125.0,165.0,
229,ALBERTVILLE-REDON,137.0,179.0,
230,ANCENIS-LA ROCHE SUR YON,23.0,35.0,
231,ANCENIS-LES SABLES D'OLONNE,28.5,42.0,
232,ANCENIS-NANTES,9.6,14.3,
233,ANCENIS-PARIS MONTPARNASSE 1 ET 2,77.0,111.0,
234,ANCENIS-SABLE,21.5,31.0,
235,ANCENIS-ST NAZAIRE,21.0,30.0,
236,ANGERS ST LAUD - AEROPORT CDG2 TGV ROISSY,75.0,107.0,
237,ANGERS ST LAUD - LYON PART DIEU,99.0,140.0,
238,ANGERS ST LAUD - LYON PERRACHE,99.0,140.0,
239,ANGERS ST LAUD - LYON SAINT EXUPERY TGV,96.0,135.0,
240,ANGERS ST LAUD - MARNE LA VALLEE CHESSY,75.0,107.0,
241,ANGERS ST LAUD - MASSY TGV,75.0,107.0,
242,ANGERS ST LAUD - PARIS MONTPARNASSE 1 ET 2,75.0,107.0,
243,ANGERS ST LAUD-AEROPORT CDG 2 TGV ROISSY,73.0,104.0,
244,ANGERS ST LAUD-AIME LA PLAGNE,120.0,161.0,
245,ANGERS ST LAUD-AIX EN PROVENCE TGV,133.0,173.0,
246,ANGERS ST LAUD-AIX LES BAINS LE REVARD,120.0,161.0,
247,ANGERS ST LAUD-ALBERTVILLE,120.0,161.0,
248,ANGERS ST LAUD-ANCENIS,13.0,19.0,
249,ANGERS ST LAUD-ANNECY,120.0,161.0,
250,ANGERS ST LAUD-ANNEMASSE,120.0,161.0,
251,ANGERS ST LAUD-ARRAS,101.0,127.0,
252,ANGERS ST LAUD-AURAY,41.0,60.0,
253,ANGERS ST LAUD-AVIGNON,133.0,173.0,
254,ANGERS ST LAUD-AVIGNON TGV,133.0,173.0,
255,ANGERS ST LAUD-BOURG ST MAURICE,120.0,161.0,
256,ANGERS ST LAUD-BREST,74.0,106.0,
257,ANGERS ST LAUD-CHAMBERY CHALLES LES EAUX,120.0,161.0,
258,ANGERS ST LAUD-CHAMPAGNE ARDENNE,92.0,122.0,
259,ANGERS ST LAUD-CLUSES  74,120.0,161.0,
260,ANGERS ST LAUD-DOUAI,101.0,127.0,
261,ANGERS ST LAUD-GRENOBLE,115.0,159.0,
262,ANGERS ST LAUD-GUINGAMP,57.0,82.0,
263,ANGERS ST LAUD-LA BAULE ESCOUBLAC,32.0,46.0,
264,ANGERS ST LAUD-LA ROCHE SUR FORON,120.0,161.0,
265,ANGERS ST LAUD-LA ROCHE SUR YON,29.0,43.0,
266,ANGERS ST LAUD-LANDRY,120.0,161.0,
267,ANGERS ST LAUD-LE CREUSOT MONTCEAU MONTCHANIN,95.0,135.0,
268,ANGERS ST LAUD-LE CROISIC,34.0,48.0,
269,ANGERS ST LAUD-LE MANS,21.0,30.0,
270,ANGERS ST LAUD-LE POULIGUEN,33.0,47.0,
271,ANGERS ST LAUD-LES SABLES D'OLONNE,32.0,45.0,
272,ANGERS ST LAUD-LILLE EUROPE,101.0,127.0,
273,ANGERS ST LAUD-LILLE FLANDRES,101.0,127.0,
274,ANGERS ST LAUD-LORIENT,45.0,66.0,
275,ANGERS ST LAUD-LORRAINE TGV,112.0,148.0,
276,ANGERS ST LAUD-LYON PART DIEU,96.0,135.0,
277,ANGERS ST LAUD-LYON PERRACHE,96.0,135.0,
278,ANGERS ST LAUD-LYON ST EXUPERY,96.0,135.0,
279,ANGERS ST LAUD-MARNE LA VALLEE CHESSY,73.0,104.0,
280,ANGERS ST LAUD-MARSEILLE ST CHARLES,133.0,173.0,
281,ANGERS ST LAUD-MASSY PALAISEAU,57.0,107.0,
282,ANGERS ST LAUD-MASSY TGV,73.0,104.0,
283,ANGERS ST LAUD-MODANE,120.0,161.0,
284,ANGERS ST LAUD-MONTPELLIER,133.0,173.0,
285,ANGERS ST LAUD-MORLAIX,63.0,90.0,
286,ANGERS ST LAUD-MOUTIERS SALINS BRIDES,120.0,161.0,
287,ANGERS ST LAUD-NANCY VILLE,112.0,148.0,
288,ANGERS ST LAUD-NANTES,19.5,27.5,
289,ANGERS ST LAUD-NIMES,133.0,173.0,
290,ANGERS ST LAUD-PARIS MONTPARNASSE 1 ET 2,73.0,104.0,
291,ANGERS ST LAUD-PORNICHET,32.0,45.0,
292,ANGERS ST LAUD-QUIMPER,53.0,78.0,
293,ANGERS ST LAUD-REDON,32.0,46.0,
294,ANGERS ST LAUD-RENNES,41.0,60.0,
295,ANGERS ST LAUD-SABLE,12.1,18.0,
296,ANGERS ST LAUD-SALLANCHES COMBLOUX MEGEVE,120.0,161.0,
297,ANGERS ST LAUD-SAUMUR,11.3,17.0,
298,ANGERS ST LAUD-SAVENAY,26.0,38.0,
299,ANGERS ST LAUD-SAVERNE,136.0,180.0,
300,ANGERS ST LAUD-ST AVRE LA CHAMBRE,120.0,161.0,
301,ANGERS ST LAUD-ST BRIEUC,53.0,78.0,
302,ANGERS ST LAUD-ST GERVAIS LES BAINS LE FAYET,120.0,161.0,
303,ANGERS ST LAUD-ST JEAN DE MAURIENNE ARVAN,120.0,161.0,
304,ANGERS ST LAUD-ST MICHEL VALLOIRE,120.0,161.0,
305,ANGERS ST LAUD-ST NAZAIRE,30.0,43.0,
306,ANGERS ST LAUD-ST PIERRE DES CORPS,22.5,33.0,
307,ANGERS ST LAUD-STRASBOURG,141.0,182.0,
308,ANGERS ST LAUD-TGV HAUTE PICARDIE,89.0,114.0,
309,ANGERS ST LAUD-VALENCE,116.0,151.0,
310,ANGERS ST LAUD-VALENCE TGV,116.0,151.0,
311,ANGERS ST LAUD-VANNES,39.0,55.0,
312,ANGERS ST LAUD-VENDOME VILLIERS SUR LOIR,31.0,47.0,
313,ANGOULEME - AEROPORT CDG2 TGV ROISSY,96.0,133.0,
314,ANGOULEME - ARCACHON,39.0,54.0,
315,ANGOULEME - ARRAS,120.0,156.0,
316,ANGOULEME - BORDEAUX ST JEAN,32.0,47.0,
317,ANGOULEME - CHAMPAGNE ARDENNE,106.0,138.0,
318,ANGOULEME - CHATELLERAULT,29.5,43.0,
319,ANGOULEME - DOUAI,120.0,156.0,
320,ANGOULEME - FACTURE BIGANOS,37.0,53.0,
321,ANGOULEME - FUTUROSCOPE,25.5,38.0,
322,ANGOULEME - LA TESTE,39.0,54.0,
323,ANGOULEME - LILLE EUROPE,120.0,156.0,
324,ANGOULEME - LORRAINE TGV,124.0,162.0,
325,ANGOULEME - MARNE LA VALLEE CHESSY,96.0,133.0,
326,ANGOULEME - MASSY TGV,96.0,133.0,
327,ANGOULEME - MEUSE TGV,117.0,154.0,
328,ANGOULEME - PARIS MONTPARNASSE 1 ET 2,96.0,133.0,
329,ANGOULEME - POITIERS,25.5,38.0,
330,ANGOULEME - ST PIERRE DES CORPS,45.0,63.0,
331,ANGOULEME - TGV HAUTE PICARDIE,120.0,156.0,
332,ANGOULEME - VENDOME VILLIERS SUR LOIR,52.0,76.0,
333,ANGOULEME-AEROPORT CDG 2 TGV ROISSY,87.0,121.0,
334,ANGOULEME-ARCACHON,36.0,50.0,
335,ANGOULEME-ARRAS,119.0,155.0,
336,ANGOULEME-BAYONNE,52.0,77.0,
337,ANGOULEME-BIARRITZ,53.0,79.0,
338,ANGOULEME-BORDEAUX ST JEAN,27.0,40.0,
339,ANGOULEME-CHAMPAGNE ARDENNE,102.0,133.0,
340,ANGOULEME-CHATELLERAULT,28.5,42.0,
341,ANGOULEME-DOUAI,119.0,155.0,
342,ANGOULEME-FACTURE BIGANOS,33.0,47.0,
343,ANGOULEME-FUTUROSCOPE,25.0,37.0,
344,ANGOULEME-LA TESTE,36.0,50.0,
345,ANGOULEME-LIBOURNE,21.0,31.0,
346,ANGOULEME-LILLE EUROPE,119.0,155.0,
347,ANGOULEME-LORRAINE TGV,119.0,156.0,
348,ANGOULEME-LOURDES,61.0,87.0,
349,ANGOULEME-LYON PART DIEU,116.0,163.0,
350,ANGOULEME-LYON PERRACHE,116.0,163.0,
351,ANGOULEME-MARMANDE,45.0,65.0,
352,ANGOULEME-MARNE LA VALLEE CHESSY,87.0,121.0,
353,ANGOULEME-MASSY TGV,87.0,121.0,
354,ANGOULEME-MEUSE,111.0,147.0,
355,ANGOULEME-MONTAUBAN VILLE BOURBON,53.0,78.0,
356,ANGOULEME-MORCENX,46.0,67.0,
357,ANGOULEME-NANCY VILLE,119.0,156.0,
358,ANGOULEME-ORTHEZ,51.0,76.0,
359,ANGOULEME-PARIS AUSTERLITZ,87.0,121.0,
360,ANGOULEME-PARIS MONTPARNASSE 1 ET 2,87.0,121.0,
361,ANGOULEME-POITIERS,23.5,35.0,
362,ANGOULEME-RUFFEC CHARENTE,11.9,17.5,
363,ANGOULEME-SAVERNE,146.0,193.0,
364,ANGOULEME-ST JEAN DE LUZ CIBOURE,54.0,80.0,
365,ANGOULEME-ST PIERRE DES CORPS,38.0,53.0,
366,ANGOULEME-TARBES,63.0,90.0,
367,ANGOULEME-TGV HAUTE PICARDIE,109.0,142.0,
368,ANGOULEME-TOULOUSE MATABIAU,60.0,85.0,
369,ANGOULEME-VENDOME VILLIERS SUR LOIR,47.0,69.0,
370,ANNECY-AIX LES BAINS LE REVARD,10.6,15.5,
371,ANNECY-ANTIBES,106.0,160.0,
372,ANNECY-ARRAS,127.0,167.0,
373,ANNECY-AURAY,137.0,179.0,
374,ANNECY-BOURG EN BRESSE,28.5,41.0,
375,ANNECY-DOUAI,127.0,168.0,
376,ANNECY-MASSY PALAISEAU,104.0,140.0,
377,ANNECY-NANTES,127.0,167.0,
378,ANNECY-NICE VILLE,108.0,160.0,
379,ANNECY-PARIS GARE DE LYON,104.0,140.0,
380,ANNECY-PARIS NORD,104.0,140.0,
381,ANNECY-QUIMPER,147.0,190.0,
382,ANNECY-REDON,137.0,179.0,
383,ANNECY-RENNES,124.0,165.0,
384,ANNECY-SALLANCHES COMBLOUX MEGEVE,17.5,24.0,
385,ANNECY-ST BRIEUC,137.0,179.0,
386,ANNECY-ST GERVAIS LES BAINS LE FAYET,18.0,26.5,
387,ANNECY-ST RAPHAEL VALESCURE,101.0,160.0,
388,ANNECY-TGV HAUTE PICARDIE,119.0,156.0,
389,ANNECY-TOULON,88.0,121.0,
390,ANNECY-VALENCE TGV,43.0,70.0,
391,ANNECY-VANNES,137.0,179.0,
392,ANNECY-VERSAILLES CHANTIERS,104.0,140.0,
393,ANNEMASSE-ARRAS,127.0,167.0,
394,ANNEMASSE-AURAY,137.0,179.0,
395,ANNEMASSE-BELLEGARDE,10.5,14.8,
396,ANNEMASSE-BOURG EN BRESSE,30.0,43.0,
397,ANNEMASSE-DOUAI,127.0,167.0,
398,ANNEMASSE-EVIAN LES BAINS,10.6,15.5,
399,ANNEMASSE-QUIMPER,147.0,190.0,
400,ANNEMASSE-REDON,137.0,179.0,
401,ANNEMASSE-RENNES,132.0,170.0,
402,ANNEMASSE-SALLANCHES COMBLOUX MEGEVE,13.7,20.0,
403,ANNEMASSE-ST BRIEUC,137.0,179.0,
404,ANNEMASSE-ST GERVAIS LES BAINS LE FAYET,14.7,21.5,
405,ANNEMASSE-TGV HAUTE PICARDIE,119.0,156.0,
406,ANNEMASSE-THONON LES BAINS,8.9,13.7,
407,ANNEMASSE-VANNES,137.0,179.0,
408,ANTIBES-BEAUNE,116.0,151.0,
409,ANTIBES-BELLEGARDE,98.0,143.0,
